symbol,interval,timestamp_utc,open,high,low,close,volume
WIFUSDT,15,2025-08-20 06:00:00,0.8329,0.8345,0.8281,0.8281,999652.0
WIFUSDT,15,2025-08-20 06:15:00,0.8281,0.83,0.8254,0.8295,1769654.0
WIFUSDT,15,2025-08-20 06:30:00,0.8295,0.8338,0.8284,0.8318,1881233.0
WIFUSDT,15,2025-08-20 06:45:00,0.8318,0.8318,0.8278,0.8303,851483.0
WIFUSDT,15,2025-08-20 07:00:00,0.8303,0.8341,0.8292,0.8335,812397.0
WIFUSDT,15,2025-08-20 07:15:00,0.8335,0.8351,0.8317,0.8319,695807.0
WIFUSDT,15,2025-08-20 07:30:00,0.8319,0.8321,0.8284,0.8291,486534.0
WIFUSDT,15,2025-08-20 07:45:00,0.8291,0.8304,0.8269,0.828,680335.0
WIFUSDT,15,2025-08-20 08:00:00,0.828,0.833,0.8266,0.8325,1038891.0
WIFUSDT,15,2025-08-20 08:15:00,0.8325,0.8375,0.8318,0.8371,1547905.0
WIFUSDT,15,2025-08-20 08:30:00,0.8371,0.8405,0.8362,0.8397,2576599.0
WIFUSDT,15,2025-08-20 08:45:00,0.8397,0.8432,0.8394,0.8432,1477830.0
WIFUSDT,15,2025-08-20 09:00:00,0.8432,0.8462,0.8403,0.8449,1437480.0
WIFUSDT,15,2025-08-20 09:15:00,0.8449,0.8465,0.8419,0.8425,1104643.0
WIFUSDT,15,2025-08-20 09:30:00,0.8425,0.8448,0.8402,0.8433,980769.0
WIFUSDT,15,2025-08-20 09:45:00,0.8433,0.8468,0.84,0.8409,841923.0
WIFUSDT,15,2025-08-20 10:00:00,0.8409,0.842,0.8365,0.8374,1257293.0
WIFUSDT,15,2025-08-20 10:15:00,0.8374,0.8422,0.8374,0.8383,492991.0
WIFUSDT,15,2025-08-20 10:30:00,0.8383,0.8406,0.8371,0.8399,524586.0
WIFUSDT,15,2025-08-20 10:45:00,0.8399,0.843,0.8397,0.8401,583820.0
WIFUSDT,15,2025-08-20 11:00:00,0.8401,0.842,0.8368,0.8373,628076.0
WIFUSDT,15,2025-08-20 11:15:00,0.8373,0.8377,0.834,0.8358,1423424.0
WIFUSDT,15,2025-08-20 11:30:00,0.8358,0.8363,0.8244,0.8262,5210847.0
WIFUSDT,15,2025-08-20 11:45:00,0.8262,0.8356,0.8228,0.8356,5007970.0
WIFUSDT,15,2025-08-20 12:00:00,0.8356,0.8441,0.8352,0.8388,2548914.0
WIFUSDT,15,2025-08-20 12:15:00,0.8388,0.8392,0.8301,0.8335,2052618.0
WIFUSDT,15,2025-08-20 12:30:00,0.8335,0.8385,0.8316,0.8379,1305750.0
WIFUSDT,15,2025-08-20 12:45:00,0.8379,0.8391,0.8347,0.8367,1021362.0
WIFUSDT,15,2025-08-20 13:00:00,0.8367,0.8368,0.8271,0.8271,2833370.0
WIFUSDT,15,2025-08-20 13:15:00,0.8271,0.8316,0.8255,0.8312,2472490.0
WIFUSDT,15,2025-08-20 13:30:00,0.8312,0.8376,0.8239,0.8259,7407714.0
WIFUSDT,15,2025-08-20 13:45:00,0.8259,0.8267,0.8123,0.817,9361585.0
WIFUSDT,15,2025-08-20 14:00:00,0.817,0.8237,0.8102,0.8158,8270140.0
WIFUSDT,15,2025-08-20 14:15:00,0.8158,0.8324,0.8095,0.8311,8104451.0
WIFUSDT,15,2025-08-20 14:30:00,0.8311,0.8429,0.8311,0.8387,6813958.0
WIFUSDT,15,2025-08-20 14:45:00,0.8387,0.8446,0.8356,0.8392,2784399.0
WIFUSDT,15,2025-08-20 15:00:00,0.8392,0.8555,0.8378,0.8532,5145826.0
WIFUSDT,15,2025-08-20 15:15:00,0.8532,0.8599,0.8527,0.8555,5983517.0
WIFUSDT,15,2025-08-20 15:30:00,0.8555,0.8595,0.8525,0.8563,2385571.0
WIFUSDT,15,2025-08-20 15:45:00,0.8563,0.8606,0.8493,0.8523,3965096.0
WIFUSDT,15,2025-08-20 16:00:00,0.8523,0.8628,0.8521,0.8612,2516317.0
WIFUSDT,15,2025-08-20 16:15:00,0.8612,0.8706,0.8609,0.8703,3357712.0
WIFUSDT,15,2025-08-20 16:30:00,0.8703,0.8704,0.8609,0.8624,1924499.0
WIFUSDT,15,2025-08-20 16:45:00,0.8624,0.8668,0.8616,0.8627,1308842.0
WIFUSDT,15,2025-08-20 17:00:00,0.8627,0.8689,0.8625,0.8635,1332808.0
