2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.NEIROETHUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.11735","close":"0.11739","high":"0.11739","low":"0.11734","volume":"8872","turnover":"1041.12815","confirm":false,"timestamp":1755710204834}],"ts":1755710204834,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.SAFEUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.421","close":"0.4212","high":"0.4212","low":"0.421","volume":"246.7","turnover":"103.87207","confirm":false,"timestamp":1755710204854}],"ts":1755710204854,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.SAFEUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.4212","close":"0.4212","high":"0.4212","low":"0.4212","volume":"0","turnover":"0","confirm":false,"timestamp":1755710204854}],"ts":1755710204854,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.SAFEUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.421","close":"0.4212","high":"0.4212","low":"0.421","volume":"246.7","turnover":"103.87207","confirm":false,"timestamp":1755710204854}],"ts":1755710204854,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.APTUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"4.463","close":"4.471","high":"4.473","low":"4.463","volume":"15384.33","turnover":"68763.89871","confirm":false,"timestamp":1755710204855}],"ts":1755710204855,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.APTUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"4.463","close":"4.471","high":"4.473","low":"4.463","volume":"15384.33","turnover":"68763.89871","confirm":false,"timestamp":1755710204855}],"ts":1755710204855,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.APTUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"4.469","close":"4.471","high":"4.473","low":"4.469","volume":"10221.8","turnover":"45700.1202","confirm":false,"timestamp":1755710204856}],"ts":1755710204856,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.DOGUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.002805","close":"0.002805","high":"0.002807","low":"0.002805","volume":"255300","turnover":"716.3994","confirm":false,"timestamp":1755710204868}],"ts":1755710204868,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.DOGUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.002808","close":"0.002805","high":"0.002808","low":"0.002801","volume":"589100","turnover":"1652.2652","confirm":false,"timestamp":1755710204869}],"ts":1755710204869,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.DOGUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.002808","close":"0.002805","high":"0.002808","low":"0.002801","volume":"589100","turnover":"1652.2652","confirm":false,"timestamp":1755710204869}],"ts":1755710204869,"type":"snapshot"}
